This is first line
2019-03-16 12:32:00 status unpacked libudev1:amd64 237-3ubuntu10.13
2019-03-16 12:32:00 status half-installed libudev1:amd64 237-3ubuntu10.13
2019-03-16 12:32:00 status half-installed libudev1:amd64 237-3ubuntu10.13
2019-03-16 12:32:00 status unpacked libudev1:amd64 237-3ubuntu10.15
2019-03-16 12:32:00 status unpacked libudev1:amd64 237-3ubuntu10.15
2019-03-16 12:32:01 startup packages configure
2019-03-16 12:32:01 configure libudev1:amd64 237-3ubuntu10.15 <none>
2019-03-16 12:32:01 status unpacked libudev1:amd64 237-3ubuntu10.15
2019-03-16 12:32:01 status half-configured libudev1:amd64 237-3ubuntu10.15
2019-03-16 12:32:01 status installed libudev1:amd64 237-3ubuntu10.15
2019-03-16 12:32:01 startup archives unpack
2019-03-16 12:32:01 upgrade libpam-runtime:all 1.1.8-3.6ubuntu2 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:01 status half-configured libpam-runtime:all 1.1.8-3.6ubuntu2
2019-03-16 12:32:01 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-03-16 12:32:01 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-03-16 12:32:02 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-03-16 12:32:02 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:02 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:02 startup packages configure
2019-03-16 12:32:02 configure libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1 <none>
2019-03-16 12:32:02 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:02 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:02 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:02 status half-configured libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:03 status installed libpam-runtime:all 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:32:03 startup archives unpack
2019-03-16 12:32:04 upgrade initramfs-tools:all 0.130ubuntu3.6 0.130ubuntu3.7
2019-03-16 12:32:04 status half-configured initramfs-tools:all 0.130ubuntu3.6
2019-03-16 12:32:04 status unpacked initramfs-tools:all 0.130ubuntu3.6
2019-03-16 12:32:04 status half-installed initramfs-tools:all 0.130ubuntu3.6
2019-03-16 12:32:04 status half-installed initramfs-tools:all 0.130ubuntu3.6
2019-03-16 12:32:04 status unpacked initramfs-tools:all 0.130ubuntu3.7
2019-03-16 12:32:04 status unpacked initramfs-tools:all 0.130ubuntu3.7
2019-03-16 12:32:05 upgrade initramfs-tools-core:all 0.130ubuntu3.6 0.130ubuntu3.7
2019-03-16 12:32:05 status half-configured initramfs-tools-core:all 0.130ubuntu3.6
2019-03-16 12:32:05 status unpacked initramfs-tools-core:all 0.130ubuntu3.6
2019-03-16 12:32:05 status half-installed initramfs-tools-core:all 0.130ubuntu3.6
2019-03-16 12:32:05 status half-installed initramfs-tools-core:all 0.130ubuntu3.6
2019-03-16 12:32:05 status unpacked initramfs-tools-core:all 0.130ubuntu3.7
2019-03-16 12:32:05 status unpacked initramfs-tools-core:all 0.130ubuntu3.7
2019-03-16 12:32:05 upgrade initramfs-tools-bin:amd64 0.130ubuntu3.6 0.130ubuntu3.7
2019-03-16 12:32:05 status half-configured initramfs-tools-bin:amd64 0.130ubuntu3.6
2019-03-16 12:32:05 status unpacked initramfs-tools-bin:amd64 0.130ubuntu3.6
2019-03-16 12:32:05 status half-installed initramfs-tools-bin:amd64 0.130ubuntu3.6
2019-03-16 12:32:05 status half-installed initramfs-tools-bin:amd64 0.130ubuntu3.6
2019-03-16 12:32:06 status unpacked initramfs-tools-bin:amd64 0.130ubuntu3.7
2019-03-16 12:32:06 status unpacked initramfs-tools-bin:amd64 0.130ubuntu3.7
2019-03-16 12:32:06 upgrade busybox-initramfs:amd64 1:1.27.2-2ubuntu3 1:1.27.2-2ubuntu3.1
2019-03-16 12:32:06 status half-configured busybox-initramfs:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:06 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:06 status half-installed busybox-initramfs:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:06 status half-installed busybox-initramfs:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:06 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3.1
2019-03-16 12:32:06 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3.1
2019-03-16 12:32:07 startup packages configure
2019-03-16 12:32:07 configure systemd:amd64 237-3ubuntu10.15 <none>
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:07 status half-configured systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:09 status installed systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:09 startup archives unpack
2019-03-16 12:32:09 upgrade systemd-sysv:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:32:09 status half-configured systemd-sysv:amd64 237-3ubuntu10.13
2019-03-16 12:32:10 status unpacked systemd-sysv:amd64 237-3ubuntu10.13
2019-03-16 12:32:10 status half-installed systemd-sysv:amd64 237-3ubuntu10.13
2019-03-16 12:32:10 status half-installed systemd-sysv:amd64 237-3ubuntu10.13
2019-03-16 12:32:10 status unpacked systemd-sysv:amd64 237-3ubuntu10.15
